2025-12-26 11:24:59,223 | INFO | noon_report_worker | logger_config.py:30 | *** Logging system initialized ***
2025-12-26 11:24:59,685 | INFO | noon_report_worker | worker.py:21 | 🚀 Starting RabbitMQ Worker (Clean Refactored Mode)...
2025-12-26 11:24:59,688 | INFO | noon_report_worker | load_redis_config.py:47 | ⚙️ Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 11:25:19,711 | INFO | noon_report_worker | worker.py:53 | 📩 Processing message (length: 1277)...
2025-12-26 11:25:19,714 | ERROR | noon_report_worker | worker.py:116 | ❌ Worker loop error: module 'psycopg2' has no attribute 'pool'
2025-12-26 11:25:29,717 | INFO | noon_report_worker | load_redis_config.py:47 | ⚙️ Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 11:25:29,725 | INFO | noon_report_worker | worker.py:53 | 📩 Processing message (length: 1277)...
2025-12-26 11:25:29,740 | ERROR | noon_report_worker | worker.py:116 | ❌ Worker loop error: module 'psycopg2' has no attribute 'pool'
2025-12-26 11:25:39,742 | INFO | noon_report_worker | load_redis_config.py:47 | ⚙️ Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 11:25:39,748 | INFO | noon_report_worker | worker.py:53 | 📩 Processing message (length: 1277)...
2025-12-26 11:25:39,749 | ERROR | noon_report_worker | worker.py:116 | ❌ Worker loop error: module 'psycopg2' has no attribute 'pool'
2025-12-26 11:25:49,752 | INFO | noon_report_worker | load_redis_config.py:47 | ⚙️ Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 11:25:49,761 | INFO | noon_report_worker | worker.py:53 | 📩 Processing message (length: 1277)...
2025-12-26 11:25:49,761 | ERROR | noon_report_worker | worker.py:116 | ❌ Worker loop error: module 'psycopg2' has no attribute 'pool'
2025-12-26 11:25:57,493 | INFO | noon_report_worker | main.py:30 | 👋 Microservice shutdown complete.
2025-12-26 11:27:12,228 | INFO | noon_report_worker | logger_config.py:30 | *** Logging system initialized ***
2025-12-26 11:27:12,662 | INFO | noon_report_worker | worker.py:21 | 🚀 Starting RabbitMQ Worker (Clean Refactored Mode)...
